accident_year,age_band,veh_age_band,policy_count,earned_exposure,total_capped_losses,burning_cost_capped,relativity
2017,1_18-24,1_0-1,1143,382.2,130140.0,340.47,2.934
2017,1_18-24,2_2-5,1704,739.8,239789.0,324.11,2.793
2017,1_18-24,3_6-10,2835,1237.1,384267.0,310.63,2.677
2017,1_18-24,4_11-15,2499,1037.1,318212.0,306.83,2.644
2017,1_18-24,5_16+,863,344.3,134638.0,391.09,3.37
2017,2_25-34,1_0-1,6876,2382.4,250022.0,104.95,0.904
2017,2_25-34,2_2-5,11825,5451.2,652646.0,119.72,1.032
2017,2_25-34,3_6-10,12208,5983.5,834248.0,139.42,1.201
2017,2_25-34,4_11-15,8509,4174.0,406745.0,97.45,0.84
2017,2_25-34,5_16+,2772,1322.9,92578.0,69.98,0.603
2017,3_35-44,1_0-1,9374,3493.2,378005.0,108.21,0.933
2017,3_35-44,2_2-5,13631,6939.0,876121.0,126.26,1.088
2017,3_35-44,3_6-10,13143,7279.7,879970.0,120.88,1.042
2017,3_35-44,4_11-15,10749,6149.4,520645.0,84.67,0.73
2017,3_35-44,5_16+,4065,2250.3,206665.0,91.84,0.791
2017,4_45-54,1_0-1,9726,3827.8,529803.0,138.41,1.193
2017,4_45-54,2_2-5,14189,7773.4,954995.0,122.85,1.059
2017,4_45-54,3_6-10,11830,7250.1,946610.0,130.56,1.125
2017,4_45-54,4_11-15,9607,5861.0,620549.0,105.88,0.912
2017,4_45-54,5_16+,3799,2321.7,181784.0,78.3,0.675
2017,5_55-64,1_0-1,6736,2678.4,325391.0,121.49,1.047
2017,5_55-64,2_2-5,9238,5189.7,521131.0,100.42,0.865
2017,5_55-64,3_6-10,6476,4206.7,403264.0,95.86,0.826
2017,5_55-64,4_11-15,4996,3301.9,229059.0,69.37,0.598
2017,5_55-64,5_16+,2175,1423.6,91150.0,64.03,0.552
2017,6_65-74,1_0-1,3394,1439.2,121021.0,84.09,0.725
2017,6_65-74,2_2-5,4760,2981.6,281251.0,94.33,0.813
2017,6_65-74,3_6-10,3414,2519.8,235678.0,93.53,0.806
2017,6_65-74,4_11-15,2474,1819.0,125985.0,69.26,0.597
2017,6_65-74,5_16+,1073,815.0,42455.0,52.09,0.449
2017,7_75+,1_0-1,1230,558.1,74220.0,132.98,1.146
2017,7_75+,2_2-5,2056,1405.2,149012.0,106.04,0.914
2017,7_75+,3_6-10,1576,1254.5,176963.0,141.07,1.216
2017,7_75+,4_11-15,1144,933.5,121599.0,130.27,1.123
2017,7_75+,5_16+,666,544.1,33058.0,60.75,0.524
2018,1_18-24,1_0-1,1317,415.6,141908.0,341.43,2.942
2018,1_18-24,2_2-5,2029,884.2,276112.0,312.26,2.691
2018,1_18-24,3_6-10,3342,1445.6,325917.0,225.45,1.943
2018,1_18-24,4_11-15,2854,1225.1,279994.0,228.55,1.97
2018,1_18-24,5_16+,983,384.9,96027.0,249.46,2.15
2018,2_25-34,1_0-1,8204,2877.9,404619.0,140.59,1.212
2018,2_25-34,2_2-5,13925,6372.3,892850.0,140.11,1.207
2018,2_25-34,3_6-10,13968,6902.9,916553.0,132.78,1.144
2018,2_25-34,4_11-15,9963,4903.2,411611.0,83.95,0.723
2018,2_25-34,5_16+,3345,1559.5,159281.0,102.14,0.88
2018,3_35-44,1_0-1,10942,4060.6,490419.0,120.78,1.041
2018,3_35-44,2_2-5,15933,8110.1,845556.0,104.26,0.898
2018,3_35-44,3_6-10,15125,8232.1,869651.0,105.64,0.91
2018,3_35-44,4_11-15,12617,7119.6,843654.0,118.5,1.021
2018,3_35-44,5_16+,4912,2731.6,195153.0,71.44,0.616
2018,4_45-54,1_0-1,11237,4389.4,507540.0,115.63,0.996
2018,4_45-54,2_2-5,16403,8900.0,1061040.0,119.22,1.027
2018,4_45-54,3_6-10,14065,8555.4,1028138.0,120.17,1.036
2018,4_45-54,4_11-15,11426,6836.0,774769.0,113.34,0.977
2018,4_45-54,5_16+,4299,2612.5,227440.0,87.06,0.75
2018,5_55-64,1_0-1,7809,3087.7,243699.0,78.92,0.68
2018,5_55-64,2_2-5,10695,6043.5,597895.0,98.93,0.853
2018,5_55-64,3_6-10,7512,4837.7,597966.0,123.61,1.065
2018,5_55-64,4_11-15,5705,3709.4,294175.0,79.31,0.683
2018,5_55-64,5_16+,2439,1622.2,113735.0,70.11,0.604
2018,6_65-74,1_0-1,4161,1786.0,166521.0,93.23,0.803
2018,6_65-74,2_2-5,5645,3549.8,371794.0,104.74,0.903
2018,6_65-74,3_6-10,3980,2953.1,246184.0,83.36,0.718
2018,6_65-74,4_11-15,2873,2105.6,169758.0,80.62,0.695
2018,6_65-74,5_16+,1330,981.8,81074.0,82.58,0.712
2018,7_75+,1_0-1,1449,630.5,68449.0,108.56,0.935
2018,7_75+,2_2-5,2304,1593.1,196827.0,123.55,1.065
2018,7_75+,3_6-10,1828,1459.6,148868.0,101.99,0.879
2018,7_75+,4_11-15,1380,1135.1,73278.0,64.55,0.556
2018,7_75+,5_16+,782,640.2,34871.0,54.47,0.469
2019,1_18-24,1_0-1,1364,438.9,117200.0,267.01,2.301
2019,1_18-24,2_2-5,2041,882.4,188753.0,213.91,1.843
2019,1_18-24,3_6-10,3293,1401.0,441683.0,315.26,2.717
2019,1_18-24,4_11-15,2920,1253.6,420469.0,335.4,2.89
2019,1_18-24,5_16+,1002,407.9,76079.0,186.51,1.607
2019,2_25-34,1_0-1,8209,2860.9,306451.0,107.12,0.923
2019,2_25-34,2_2-5,13630,6251.9,786462.0,125.8,1.084
2019,2_25-34,3_6-10,14155,6949.9,915952.0,131.79,1.136
2019,2_25-34,4_11-15,9895,4831.8,561833.0,116.28,1.002
2019,2_25-34,5_16+,3216,1508.8,123614.0,81.93,0.706
2019,3_35-44,1_0-1,10822,3961.6,400597.0,101.12,0.871
2019,3_35-44,2_2-5,16217,8254.9,1003282.0,121.54,1.047
2019,3_35-44,3_6-10,15090,8404.5,1050276.0,124.97,1.077
2019,3_35-44,4_11-15,12653,7237.7,752183.0,103.93,0.896
2019,3_35-44,5_16+,4925,2750.4,182561.0,66.38,0.572
2019,4_45-54,1_0-1,11258,4418.1,579779.0,131.23,1.131
2019,4_45-54,2_2-5,16448,8981.9,1136897.0,126.58,1.091
2019,4_45-54,3_6-10,13814,8304.7,1016940.0,122.45,1.055
2019,4_45-54,4_11-15,11270,6841.3,869323.0,127.07,1.095
2019,4_45-54,5_16+,4347,2628.4,220292.0,83.81,0.722
2019,5_55-64,1_0-1,7962,3163.4,361106.0,114.15,0.984
2019,5_55-64,2_2-5,10827,6082.2,565313.0,92.95,0.801
2019,5_55-64,3_6-10,7797,5016.8,609706.0,121.53,1.047
2019,5_55-64,4_11-15,5989,3896.2,341023.0,87.53,0.754
2019,5_55-64,5_16+,2542,1704.5,74506.0,43.71,0.377
2019,6_65-74,1_0-1,4080,1669.6,170432.0,102.08,0.88
2019,6_65-74,2_2-5,5467,3472.9,478490.0,137.78,1.187
2019,6_65-74,3_6-10,3966,2964.0,236572.0,79.81,0.688
2019,6_65-74,4_11-15,2830,2104.8,167046.0,79.36,0.684
2019,6_65-74,5_16+,1292,953.9,46714.0,48.97,0.422
2019,7_75+,1_0-1,1448,651.8,94443.0,144.89,1.249
2019,7_75+,2_2-5,2426,1642.2,215909.0,131.47,1.133
2019,7_75+,3_6-10,1899,1537.7,190472.0,123.87,1.067
2019,7_75+,4_11-15,1376,1145.8,78725.0,68.71,0.592
2019,7_75+,5_16+,753,624.1,38051.0,60.97,0.525
