accident_year,age_band,policy_count,earned_exposure,total_capped_losses,burning_cost_capped,relativity
2017,1_18-24,9044,3740.5,1207046.0,322.7,2.781
2017,2_25-34,42190,19314.1,2236240.0,115.78,0.998
2017,3_35-44,50962,26111.6,2861405.0,109.58,0.944
2017,4_45-54,49151,27034.0,3233742.0,119.62,1.031
2017,5_55-64,29621,16800.3,1569995.0,93.45,0.805
2017,6_65-74,15115,9574.6,806390.0,84.22,0.726
2017,7_75+,6672,4695.4,554852.0,118.17,1.018
2018,1_18-24,10525,4355.5,1119959.0,257.14,2.216
2018,2_25-34,49405,22615.8,2784913.0,123.14,1.061
2018,3_35-44,59529,30253.9,3244433.0,107.24,0.924
2018,4_45-54,57430,31293.3,3598926.0,115.01,0.991
2018,5_55-64,34160,19300.6,1847470.0,95.72,0.825
2018,6_65-74,17989,11376.3,1035332.0,91.01,0.784
2018,7_75+,7743,5458.6,522292.0,95.68,0.825
2019,1_18-24,10620,4383.9,1244184.0,283.81,2.446
2019,2_25-34,49105,22403.2,2694313.0,120.26,1.036
2019,3_35-44,59707,30609.1,3388899.0,110.72,0.954
2019,4_45-54,57137,31174.3,3823231.0,122.64,1.057
2019,5_55-64,35117,19863.0,1951654.0,98.26,0.847
2019,6_65-74,17635,11165.3,1099254.0,98.45,0.848
2019,7_75+,7902,5601.5,617599.0,110.26,0.95
