accident_year,bm_band,policy_count,earned_exposure,total_capped_losses,burning_cost_capped,relativity
2017,1_floor (BM=50),114941,67491.3,5309166.0,78.66,0.678
2017,2_51-70,44983,22059.2,3148590.0,142.73,1.23
2017,3_71-100,40529,16678.4,3442476.0,206.4,1.779
2017,4_101+,2302,1041.5,569438.0,546.73,4.711
2018,1_floor (BM=50),134081,78304.2,6003093.0,76.66,0.661
2018,2_51-70,52984,25906.0,3470723.0,133.97,1.155
2018,3_71-100,46985,19190.2,4014819.0,209.21,1.803
2018,4_101+,2731,1253.7,664690.0,530.2,4.569
2019,1_floor (BM=50),134428,78660.8,6262794.0,79.62,0.686
2019,2_51-70,53044,26119.9,3750205.0,143.58,1.237
2019,3_71-100,46994,19148.1,4004833.0,209.15,1.802
2019,4_101+,2757,1271.5,801302.0,630.19,5.431
